Architecture,Dataset,Morph_ID,Weight,Morph_Sim_Target,Morph_Sim_P-,Gen_Sim_Target,Gen_Sim_P-,Unpaired
NegFaceDiff,OpenCV,001_08-vs-010_08,w_0,0.4698,0.6504,-0.0147,0.1294,No
NegFaceDiff,OpenCV,001_08-vs-010_08,w_5,0.4698,0.6504,-0.0643,-0.0365,Yes
NegFaceDiff,OpenCV,001_08-vs-010_08,w_10,0.4698,0.6504,-0.0343,0.0499,Yes
NegFaceDiff,OpenCV,001_08-vs-014_08,w_0,0.5595,0.6403,0.2094,0.1317,No
NegFaceDiff,OpenCV,001_08-vs-014_08,w_5,0.5595,0.6403,0.0106,0.0084,Yes
NegFaceDiff,OpenCV,001_08-vs-014_08,w_10,0.5595,0.6403,0.0317,0.1688,No
NegFaceDiff,FaceMorpher,001_08-vs-010_08,w_0,0.4872,0.5646,0.0621,0.0003,Yes
NegFaceDiff,FaceMorpher,001_08-vs-010_08,w_5,0.4872,0.5646,-0.0078,-0.0146,Yes
NegFaceDiff,FaceMorpher,001_08-vs-010_08,w_10,0.4872,0.5646,0.0377,0.0079,Yes
NegFaceDiff,FaceMorpher,001_08-vs-014_08,w_0,0.5983,0.5666,0.0239,-0.0047,Yes
NegFaceDiff,FaceMorpher,001_08-vs-014_08,w_5,0.5983,0.5666,0.0187,-0.0499,Yes
NegFaceDiff,FaceMorpher,001_08-vs-014_08,w_10,0.5983,0.5666,0.0059,-0.0259,Yes
NegFaceDiff,FaceMorpher,001_08-vs-032_08,w_0,0.6615,0.6385,0.0633,0.1377,No
NegFaceDiff,FaceMorpher,001_08-vs-032_08,w_5,0.6615,0.6385,-0.0073,-0.0436,Yes
NegFaceDiff,FaceMorpher,001_08-vs-032_08,w_10,0.6615,0.6385,-0.0331,-0.0198,Yes
NegFaceDiff,Webmorph,001_03-vs-010_03,w_0,0.5886,0.5509,0.029,-0.0001,Yes
NegFaceDiff,Webmorph,001_03-vs-010_03,w_5,0.5886,0.5509,-0.0764,0.0296,Yes
NegFaceDiff,Webmorph,001_03-vs-010_03,w_10,0.5886,0.5509,0.003,-0.0083,Yes
NegFaceDiff,Webmorph,001_03-vs-014_03,w_0,0.6531,0.6108,0.2136,0.0984,Yes
NegFaceDiff,Webmorph,001_03-vs-014_03,w_5,0.6531,0.6108,-0.0436,-0.0178,Yes
NegFaceDiff,Webmorph,001_03-vs-014_03,w_10,0.6531,0.6108,0.0528,0.0202,Yes
NegFaceDiff,MIPGAN_I,001_03-vs-010_03,w_0,0.4513,0.412,0.239,0.3024,No
NegFaceDiff,MIPGAN_I,001_03-vs-010_03,w_5,0.4513,0.412,0.1196,0.0287,Yes
NegFaceDiff,MIPGAN_I,001_03-vs-010_03,w_10,0.4513,0.412,0.0214,-0.0433,Yes
NegFaceDiff,MIPGAN_I,001_03-vs-030_03,w_0,0.4239,0.3638,0.2612,0.2613,No
NegFaceDiff,MIPGAN_I,001_03-vs-030_03,w_5,0.4239,0.3638,0.0651,0.0696,Yes
NegFaceDiff,MIPGAN_I,001_03-vs-030_03,w_10,0.4239,0.3638,0.054,-0.0514,Yes
NegFaceDiff,MIPGAN_II,001_03-vs-014_03,w_0,0.4494,0.4074,0.2867,0.4241,No
